,location,location_next,location_2,location_3,location_4
3931,checkout,checkout,dairy,drinks,spices
3891,spices,dairy,drinks,spices,dairy
3914,dairy,drinks,spices,dairy,spices
3927,drinks,spices,dairy,spices,dairy
3937,spices,dairy,spices,dairy,drinks
3978,dairy,spices,dairy,drinks,fruit
4085,spices,dairy,drinks,fruit,checkout
4114,dairy,drinks,fruit,checkout,checkout
4133,drinks,fruit,checkout,checkout,fruit
4164,fruit,checkout,checkout,fruit,dairy
4175,checkout,checkout,fruit,dairy,spices
3926,drinks,fruit,dairy,spices,dairy
3938,fruit,dairy,spices,dairy,checkout
3966,dairy,spices,dairy,checkout,checkout
4024,spices,dairy,checkout,checkout,fruit
4043,dairy,checkout,checkout,fruit,spices
4056,checkout,checkout,fruit,spices,fruit
4025,drinks,fruit,spices,fruit,checkout
4036,fruit,spices,fruit,checkout,checkout
4042,spices,fruit,checkout,checkout,fruit
4056,fruit,checkout,checkout,fruit,dairy
4065,checkout,checkout,fruit,dairy,spices
3926,drinks,fruit,dairy,spices,dairy
3938,fruit,dairy,spices,dairy,checkout
3966,dairy,spices,dairy,checkout,checkout
4024,spices,dairy,checkout,checkout,spices
4043,dairy,checkout,checkout,spices,dairy
4056,checkout,checkout,spices,dairy,drinks
3924,drinks,spices,dairy,drinks,checkout
3949,spices,dairy,drinks,checkout,checkout
3957,dairy,drinks,checkout,checkout,checkout
3995,drinks,checkout,checkout,checkout,checkout
4005,checkout,checkout,checkout,checkout,fruit
3892,drinks,checkout,checkout,fruit,checkout
3915,checkout,checkout,fruit,checkout,checkout
3932,drinks,fruit,checkout,checkout,checkout
3947,fruit,checkout,checkout,checkout,checkout
3991,checkout,checkout,checkout,checkout,fruit
4026,drinks,checkout,checkout,fruit,checkout
4037,checkout,checkout,fruit,checkout,checkout
3932,drinks,fruit,checkout,checkout,checkout
3947,fruit,checkout,checkout,checkout,checkout
3991,checkout,checkout,checkout,checkout,dairy
3925,drinks,checkout,checkout,dairy,checkout
3958,checkout,checkout,dairy,checkout,checkout
3893,spices,dairy,checkout,checkout,checkout
3907,dairy,checkout,checkout,checkout,checkout
3957,checkout,checkout,checkout,checkout,dairy
3933,dairy,checkout,checkout,dairy,checkout
3939,checkout,checkout,dairy,checkout,checkout
4038,fruit,dairy,checkout,checkout,checkout
4043,dairy,checkout,checkout,checkout,checkout
4077,checkout,checkout,checkout,checkout,checkout
3933,dairy,checkout,checkout,checkout,checkout
3939,checkout,checkout,checkout,checkout,checkout
3932,dairy,checkout,checkout,checkout,checkout
3950,checkout,checkout,checkout,checkout,checkout
3894,drinks,checkout,checkout,checkout,checkout
3899,checkout,checkout,checkout,checkout,dairy
3934,drinks,checkout,checkout,dairy,spices
3948,checkout,checkout,dairy,spices,drinks
4039,fruit,dairy,spices,drinks,fruit
4044,dairy,spices,drinks,fruit,drinks
4057,spices,drinks,fruit,drinks,checkout
4066,drinks,fruit,drinks,checkout,checkout
4078,fruit,drinks,checkout,checkout,checkout
4082,drinks,checkout,checkout,checkout,checkout
4093,checkout,checkout,checkout,checkout,checkout
3934,drinks,checkout,checkout,checkout,checkout
3948,checkout,checkout,checkout,checkout,checkout
3933,fruit,checkout,checkout,checkout,checkout
3941,checkout,checkout,checkout,checkout,dairy
3895,fruit,checkout,checkout,dairy,checkout
3900,checkout,checkout,dairy,checkout,checkout
3935,fruit,dairy,checkout,checkout,checkout
3949,dairy,checkout,checkout,checkout,checkout
4025,checkout,checkout,checkout,checkout,dairy
4040,spices,checkout,checkout,dairy,checkout
4045,checkout,checkout,dairy,checkout,checkout
3935,fruit,dairy,checkout,checkout,dairy
3949,dairy,checkout,checkout,dairy,fruit
4025,checkout,checkout,dairy,fruit,checkout
3934,spices,dairy,fruit,checkout,checkout
3951,dairy,fruit,checkout,checkout,checkout
3961,fruit,checkout,checkout,checkout,checkout
3971,checkout,checkout,checkout,checkout,fruit
3901,fruit,checkout,checkout,fruit,checkout
3908,checkout,checkout,fruit,checkout,checkout
3940,dairy,fruit,checkout,checkout,dairy
3950,fruit,checkout,checkout,dairy,drinks
3981,checkout,checkout,dairy,drinks,checkout
4046,spices,dairy,drinks,checkout,checkout
4058,dairy,drinks,checkout,checkout,fruit
4072,drinks,checkout,checkout,fruit,checkout
4079,checkout,checkout,fruit,checkout,checkout
3940,dairy,fruit,checkout,checkout,drinks
3950,fruit,checkout,checkout,drinks,checkout
3981,checkout,checkout,drinks,checkout,checkout
3942,spices,drinks,checkout,checkout,checkout
3952,drinks,checkout,checkout,checkout,checkout
3962,checkout,checkout,checkout,checkout,spices
3902,dairy,checkout,checkout,spices,checkout
3916,checkout,checkout,spices,checkout,checkout
3941,drinks,spices,checkout,checkout,checkout
3967,spices,checkout,checkout,checkout,checkout
3982,checkout,checkout,checkout,checkout,spices
4047,drinks,checkout,checkout,spices,checkout
4083,checkout,checkout,spices,checkout,checkout
3941,drinks,spices,checkout,checkout,fruit
3967,spices,checkout,checkout,fruit,dairy
3982,checkout,checkout,fruit,dairy,fruit
3953,spices,fruit,dairy,fruit,dairy
3980,fruit,dairy,fruit,dairy,fruit
3985,dairy,fruit,dairy,fruit,checkout
4006,fruit,dairy,fruit,checkout,checkout
4014,dairy,fruit,checkout,checkout,drinks
4089,fruit,checkout,checkout,drinks,checkout
4092,checkout,checkout,drinks,checkout,checkout
3903,spices,drinks,checkout,checkout,dairy
3909,drinks,checkout,checkout,dairy,spices
3917,checkout,checkout,dairy,spices,drinks
3951,fruit,dairy,spices,drinks,spices
3968,dairy,spices,drinks,spices,checkout
4015,spices,drinks,spices,checkout,checkout
4032,drinks,spices,checkout,checkout,checkout
4044,spices,checkout,checkout,checkout,checkout
4051,checkout,checkout,checkout,checkout,dairy
4048,drinks,checkout,checkout,dairy,spices
4059,checkout,checkout,dairy,spices,drinks
3951,fruit,dairy,spices,drinks,spices
3968,dairy,spices,drinks,spices,checkout
4015,spices,drinks,spices,checkout,checkout
4032,drinks,spices,checkout,checkout,dairy
4044,spices,checkout,checkout,dairy,drinks
4051,checkout,checkout,dairy,drinks,spices
3959,fruit,dairy,drinks,spices,drinks
3964,dairy,drinks,spices,drinks,checkout
4031,drinks,spices,drinks,checkout,checkout
4038,spices,drinks,checkout,checkout,drinks
4044,drinks,checkout,checkout,drinks,checkout
4081,checkout,checkout,drinks,checkout,checkout
3904,spices,drinks,checkout,checkout,dairy
3923,drinks,checkout,checkout,dairy,fruit
3928,checkout,checkout,dairy,fruit,checkout
348,spices,dairy,fruit,checkout,checkout
354,dairy,fruit,checkout,checkout,checkout
373,fruit,checkout,checkout,checkout,checkout
400,checkout,checkout,checkout,checkout,dairy
368,drinks,checkout,checkout,dairy,fruit
372,checkout,checkout,dairy,fruit,checkout
348,spices,dairy,fruit,checkout,checkout
354,dairy,fruit,checkout,checkout,dairy
373,fruit,checkout,checkout,dairy,checkout
400,checkout,checkout,dairy,checkout,checkout
361,fruit,dairy,checkout,checkout,dairy
373,dairy,checkout,checkout,dairy,spices
391,checkout,checkout,dairy,spices,drinks
346,fruit,dairy,spices,drinks,fruit
351,dairy,spices,drinks,fruit,checkout
365,spices,drinks,fruit,checkout,checkout
392,drinks,fruit,checkout,checkout,drinks
411,fruit,checkout,checkout,drinks,fruit
434,checkout,checkout,drinks,fruit,spices
19,spices,drinks,fruit,spices,fruit
25,drinks,fruit,spices,fruit,checkout
27,fruit,spices,fruit,checkout,checkout
57,spices,fruit,checkout,checkout,checkout
77,fruit,checkout,checkout,checkout,checkout
127,checkout,checkout,checkout,checkout,drinks
16,drinks,checkout,checkout,drinks,fruit
26,checkout,checkout,drinks,fruit,spices
19,spices,drinks,fruit,spices,fruit
25,drinks,fruit,spices,fruit,checkout
27,fruit,spices,fruit,checkout,checkout
57,spices,fruit,checkout,checkout,checkout
77,fruit,checkout,checkout,checkout,checkout
127,checkout,checkout,checkout,checkout,checkout
17,fruit,checkout,checkout,checkout,checkout
20,checkout,checkout,checkout,checkout,checkout
16,dairy,checkout,checkout,checkout,checkout
28,checkout,checkout,checkout,checkout,checkout
3952,fruit,checkout,checkout,checkout,checkout
4004,checkout,checkout,checkout,checkout,checkout
4049,fruit,checkout,checkout,checkout,checkout
4060,checkout,checkout,checkout,checkout,checkout
3952,fruit,checkout,checkout,checkout,checkout
4004,checkout,checkout,checkout,checkout,spices
3965,drinks,checkout,checkout,spices,checkout
4007,checkout,checkout,spices,checkout,checkout
3905,dairy,spices,checkout,checkout,fruit
3910,spices,checkout,checkout,fruit,checkout
3918,checkout,checkout,fruit,checkout,checkout
3953,dairy,fruit,checkout,checkout,checkout
4005,fruit,checkout,checkout,checkout,checkout
4026,checkout,checkout,checkout,checkout,fruit
4050,dairy,checkout,checkout,fruit,checkout
4086,checkout,checkout,fruit,checkout,checkout
3953,dairy,fruit,checkout,checkout,drinks
4005,fruit,checkout,checkout,drinks,spices
4026,checkout,checkout,drinks,spices,drinks
3966,dairy,drinks,spices,drinks,spices
4072,drinks,spices,drinks,spices,fruit
4082,spices,drinks,spices,fruit,drinks
4090,drinks,spices,fruit,drinks,checkout
4093,spices,fruit,drinks,checkout,checkout
4096,fruit,drinks,checkout,checkout,dairy
4102,drinks,checkout,checkout,dairy,fruit
4111,checkout,checkout,dairy,fruit,spices
3911,fruit,dairy,fruit,spices,checkout
3919,dairy,fruit,spices,checkout,checkout
3924,fruit,spices,checkout,checkout,dairy
3938,spices,checkout,checkout,dairy,drinks
3958,checkout,checkout,dairy,drinks,checkout
3954,drinks,dairy,drinks,checkout,checkout
4006,dairy,drinks,checkout,checkout,checkout
4016,drinks,checkout,checkout,checkout,checkout
4027,checkout,checkout,checkout,checkout,dairy
4051,fruit,checkout,checkout,dairy,drinks
4061,checkout,checkout,dairy,drinks,checkout
3954,drinks,dairy,drinks,checkout,checkout
4006,dairy,drinks,checkout,checkout,checkout
4016,drinks,checkout,checkout,checkout,checkout
4027,checkout,checkout,checkout,checkout,checkout
3967,drinks,checkout,checkout,checkout,checkout
3972,checkout,checkout,checkout,checkout,drinks
3920,fruit,checkout,checkout,drinks,checkout
3959,checkout,checkout,drinks,checkout,checkout
3955,fruit,drinks,checkout,checkout,spices
3969,drinks,checkout,checkout,spices,drinks
3992,checkout,checkout,spices,drinks,checkout
4052,dairy,spices,drinks,checkout,checkout
4062,spices,drinks,checkout,checkout,drinks
4067,drinks,checkout,checkout,drinks,checkout
4084,checkout,checkout,drinks,checkout,checkout
3955,fruit,drinks,checkout,checkout,drinks
3969,drinks,checkout,checkout,drinks,spices
3992,checkout,checkout,drinks,spices,checkout
3968,spices,drinks,spices,checkout,checkout
3996,drinks,spices,checkout,checkout,drinks
4045,spices,checkout,checkout,drinks,fruit
4063,checkout,checkout,drinks,fruit,checkout
3921,dairy,drinks,fruit,checkout,checkout
4055,drinks,fruit,checkout,checkout,dairy
4086,fruit,checkout,checkout,dairy,spices
4115,checkout,checkout,dairy,spices,dairy
3956,spices,dairy,spices,dairy,checkout
3970,dairy,spices,dairy,checkout,checkout
3983,spices,dairy,checkout,checkout,checkout
3993,dairy,checkout,checkout,checkout,checkout
4007,checkout,checkout,checkout,checkout,dairy
4068,drinks,checkout,checkout,dairy,spices
4080,checkout,checkout,dairy,spices,dairy
3956,spices,dairy,spices,dairy,checkout
3970,dairy,spices,dairy,checkout,checkout
3983,spices,dairy,checkout,checkout,checkout
3993,dairy,checkout,checkout,checkout,checkout
4007,checkout,checkout,checkout,checkout,checkout
3969,fruit,checkout,checkout,checkout,checkout
3973,checkout,checkout,checkout,checkout,checkout
3929,drinks,checkout,checkout,checkout,checkout
3960,checkout,checkout,checkout,checkout,spices
3957,fruit,checkout,checkout,spices,dairy
4008,checkout,checkout,spices,dairy,fruit
4069,dairy,spices,dairy,fruit,drinks
4085,spices,dairy,fruit,drinks,fruit
4087,dairy,fruit,drinks,fruit,dairy
4094,fruit,drinks,fruit,dairy,checkout
4098,drinks,fruit,dairy,checkout,checkout
4113,fruit,dairy,checkout,checkout,checkout
4124,dairy,checkout,checkout,checkout,checkout
4133,checkout,checkout,checkout,checkout,checkout
3957,fruit,checkout,checkout,checkout,checkout
4008,checkout,checkout,checkout,checkout,drinks
3970,drinks,checkout,checkout,drinks,spices
3974,checkout,checkout,drinks,spices,fruit
3930,spices,drinks,spices,fruit,checkout
3961,drinks,spices,fruit,checkout,checkout
4000,spices,fruit,checkout,checkout,checkout
4015,fruit,checkout,checkout,checkout,checkout
4034,checkout,checkout,checkout,checkout,checkout
3958,dairy,checkout,checkout,checkout,checkout
3994,checkout,checkout,checkout,checkout,checkout
4070,spices,checkout,checkout,checkout,checkout
4073,checkout,checkout,checkout,checkout,fruit
3958,dairy,checkout,checkout,fruit,drinks
3994,checkout,checkout,fruit,drinks,spices
3975,spices,fruit,drinks,spices,checkout
3986,fruit,drinks,spices,checkout,checkout
3997,drinks,spices,checkout,checkout,checkout
4015,spices,checkout,checkout,checkout,checkout
4022,checkout,checkout,checkout,checkout,fruit
3931,drinks,checkout,checkout,fruit,checkout
3946,checkout,checkout,fruit,checkout,checkout
3959,dairy,fruit,checkout,checkout,checkout
4017,fruit,checkout,checkout,checkout,checkout
4028,checkout,checkout,checkout,checkout,fruit
4074,fruit,checkout,checkout,fruit,checkout
4081,checkout,checkout,fruit,checkout,checkout
3959,dairy,fruit,checkout,checkout,spices
4017,fruit,checkout,checkout,spices,checkout
4028,checkout,checkout,spices,checkout,checkout
3976,fruit,spices,checkout,checkout,fruit
3978,spices,checkout,checkout,fruit,checkout
3981,checkout,checkout,fruit,checkout,checkout
3932,dairy,fruit,checkout,checkout,checkout
3947,fruit,checkout,checkout,checkout,checkout
3962,checkout,checkout,checkout,checkout,fruit
3960,dairy,checkout,checkout,fruit,checkout
3971,checkout,checkout,fruit,checkout,checkout
4075,drinks,fruit,checkout,checkout,checkout
4089,fruit,checkout,checkout,checkout,checkout
4105,checkout,checkout,checkout,checkout,checkout
3960,dairy,checkout,checkout,checkout,checkout
3971,checkout,checkout,checkout,checkout,checkout
3982,dairy,checkout,checkout,checkout,checkout
3998,checkout,checkout,checkout,checkout,fruit
3933,drinks,checkout,checkout,fruit,checkout
3939,checkout,checkout,fruit,checkout,checkout
3961,spices,fruit,checkout,checkout,checkout
3972,fruit,checkout,checkout,checkout,checkout
4018,checkout,checkout,checkout,checkout,fruit
4088,drinks,checkout,checkout,fruit,checkout
4090,checkout,checkout,fruit,checkout,checkout
3961,spices,fruit,checkout,checkout,dairy
3972,fruit,checkout,checkout,dairy,checkout
4018,checkout,checkout,dairy,checkout,checkout
3983,drinks,dairy,checkout,checkout,checkout
3999,dairy,checkout,checkout,checkout,checkout
4008,checkout,checkout,checkout,checkout,dairy
3934,spices,checkout,checkout,dairy,spices
3963,checkout,checkout,dairy,spices,dairy
349,spices,dairy,spices,dairy,fruit
364,dairy,spices,dairy,fruit,checkout
401,spices,dairy,fruit,checkout,checkout
412,dairy,fruit,checkout,checkout,dairy
460,fruit,checkout,checkout,dairy,checkout
505,checkout,checkout,dairy,checkout,checkout
373,spices,dairy,checkout,checkout,dairy
384,dairy,checkout,checkout,dairy,spices
390,checkout,checkout,dairy,spices,dairy
349,spices,dairy,spices,dairy,fruit
364,dairy,spices,dairy,fruit,checkout
401,spices,dairy,fruit,checkout,checkout
412,dairy,fruit,checkout,checkout,dairy
460,fruit,checkout,checkout,dairy,checkout
505,checkout,checkout,dairy,checkout,checkout
362,spices,dairy,checkout,checkout,dairy
374,dairy,checkout,checkout,dairy,drinks
433,checkout,checkout,dairy,drinks,spices
357,spices,dairy,drinks,spices,drinks
372,dairy,drinks,spices,drinks,checkout
380,drinks,spices,drinks,checkout,checkout
387,spices,drinks,checkout,checkout,dairy
393,drinks,checkout,checkout,dairy,checkout
403,checkout,checkout,dairy,checkout,checkout
3973,spices,dairy,checkout,checkout,drinks
3984,dairy,checkout,checkout,drinks,checkout
3995,checkout,checkout,drinks,checkout,checkout
4095,spices,drinks,checkout,checkout,dairy
4099,drinks,checkout,checkout,dairy,checkout
4106,checkout,checkout,dairy,checkout,checkout
3973,spices,dairy,checkout,checkout,checkout
3984,dairy,checkout,checkout,checkout,checkout
3995,checkout,checkout,checkout,checkout,checkout
3984,dairy,checkout,checkout,checkout,checkout
3987,checkout,checkout,checkout,checkout,drinks
3940,drinks,checkout,checkout,drinks,checkout
3988,checkout,checkout,drinks,checkout,checkout
3974,fruit,drinks,checkout,checkout,checkout
4009,drinks,checkout,checkout,checkout,checkout
4045,checkout,checkout,checkout,checkout,drinks
4096,fruit,checkout,checkout,drinks,checkout
4107,checkout,checkout,drinks,checkout,checkout
3974,fruit,drinks,checkout,checkout,checkout
4009,drinks,checkout,checkout,checkout,checkout
4045,checkout,checkout,checkout,checkout,drinks
3988,drinks,checkout,checkout,drinks,checkout
4016,checkout,checkout,drinks,checkout,checkout
3941,fruit,drinks,checkout,checkout,checkout
3948,drinks,checkout,checkout,checkout,checkout
3970,checkout,checkout,checkout,checkout,spices
3985,fruit,checkout,checkout,spices,fruit
4019,checkout,checkout,spices,fruit,dairy
4097,dairy,spices,fruit,dairy,fruit
4108,spices,fruit,dairy,fruit,spices
4117,fruit,dairy,fruit,spices,dairy
4144,dairy,fruit,spices,dairy,fruit
4188,fruit,spices,dairy,fruit,dairy
4200,spices,dairy,fruit,dairy,checkout
4209,dairy,fruit,dairy,checkout,checkout
4231,fruit,dairy,checkout,checkout,checkout
4264,dairy,checkout,checkout,checkout,checkout
4332,checkout,checkout,checkout,checkout,drinks
3985,fruit,checkout,checkout,drinks,fruit
4019,checkout,checkout,drinks,fruit,drinks
3989,dairy,drinks,fruit,drinks,checkout
4064,drinks,fruit,drinks,checkout,checkout
4073,fruit,drinks,checkout,checkout,checkout
4077,drinks,checkout,checkout,checkout,checkout
4094,checkout,checkout,checkout,checkout,checkout
3942,fruit,checkout,checkout,checkout,checkout
3964,checkout,checkout,checkout,checkout,dairy
3986,dairy,checkout,checkout,dairy,fruit
4033,checkout,checkout,dairy,fruit,dairy
4100,fruit,dairy,fruit,dairy,checkout
4109,dairy,fruit,dairy,checkout,checkout
4136,fruit,dairy,checkout,checkout,checkout
4153,dairy,checkout,checkout,checkout,checkout
4183,checkout,checkout,checkout,checkout,dairy
3986,dairy,checkout,checkout,dairy,drinks
4033,checkout,checkout,dairy,drinks,checkout
3990,spices,dairy,drinks,checkout,checkout
4000,dairy,drinks,checkout,checkout,checkout
4017,drinks,checkout,checkout,checkout,checkout
4046,checkout,checkout,checkout,checkout,drinks
3943,drinks,checkout,checkout,drinks,spices
4024,checkout,checkout,drinks,spices,fruit
3987,dairy,drinks,spices,fruit,checkout
3996,drinks,spices,fruit,checkout,checkout
4010,spices,fruit,checkout,checkout,drinks
4057,fruit,checkout,checkout,drinks,spices
4062,checkout,checkout,drinks,spices,checkout
4101,spices,drinks,spices,checkout,checkout
4110,drinks,spices,checkout,checkout,drinks
4114,spices,checkout,checkout,drinks,spices
4118,checkout,checkout,drinks,spices,fruit
3987,dairy,drinks,spices,fruit,checkout
3996,drinks,spices,fruit,checkout,checkout
4010,spices,fruit,checkout,checkout,fruit
4057,fruit,checkout,checkout,fruit,checkout
4062,checkout,checkout,fruit,checkout,checkout
3991,dairy,fruit,checkout,checkout,dairy
4023,fruit,checkout,checkout,dairy,fruit
4047,checkout,checkout,dairy,fruit,spices
3944,fruit,dairy,fruit,spices,drinks
3965,dairy,fruit,spices,drinks,fruit
3979,fruit,spices,drinks,fruit,drinks
4001,spices,drinks,fruit,drinks,checkout
4016,drinks,fruit,drinks,checkout,checkout
4025,fruit,drinks,checkout,checkout,checkout
4056,drinks,checkout,checkout,checkout,checkout
4068,checkout,checkout,checkout,checkout,checkout
3997,drinks,checkout,checkout,checkout,checkout
4020,checkout,checkout,checkout,checkout,checkout
4102,drinks,checkout,checkout,checkout,checkout
4111,checkout,checkout,checkout,checkout,checkout
3997,drinks,checkout,checkout,checkout,checkout
4020,checkout,checkout,checkout,checkout,drinks
3992,drinks,checkout,checkout,drinks,checkout
4001,checkout,checkout,drinks,checkout,checkout
3949,dairy,drinks,checkout,checkout,spices
3966,drinks,checkout,checkout,spices,dairy
4017,checkout,checkout,spices,dairy,checkout
3998,dairy,spices,dairy,checkout,checkout
4021,spices,dairy,checkout,checkout,drinks
4029,dairy,checkout,checkout,drinks,spices
4096,checkout,checkout,drinks,spices,fruit
4103,dairy,drinks,spices,fruit,dairy
4119,drinks,spices,fruit,dairy,checkout
4145,spices,fruit,dairy,checkout,checkout
4154,fruit,dairy,checkout,checkout,spices
4166,dairy,checkout,checkout,spices,dairy
4223,checkout,checkout,spices,dairy,checkout
3998,dairy,spices,dairy,checkout,checkout
4021,spices,dairy,checkout,checkout,fruit
4029,dairy,checkout,checkout,fruit,spices
4096,checkout,checkout,fruit,spices,drinks
3993,dairy,fruit,spices,drinks,checkout
4002,fruit,spices,drinks,checkout,checkout
4018,spices,drinks,checkout,checkout,checkout
4032,drinks,checkout,checkout,checkout,checkout
4051,checkout,checkout,checkout,checkout,checkout
3950,drinks,checkout,checkout,checkout,checkout
3967,checkout,checkout,checkout,checkout,checkout
3999,fruit,checkout,checkout,checkout,checkout
4034,checkout,checkout,checkout,checkout,checkout
4104,fruit,checkout,checkout,checkout,checkout
4125,checkout,checkout,checkout,checkout,spices
3999,fruit,checkout,checkout,spices,dairy
4034,checkout,checkout,spices,dairy,spices
3994,dairy,spices,dairy,spices,dairy
4009,spices,dairy,spices,dairy,checkout
4019,dairy,spices,dairy,checkout,checkout
4024,spices,dairy,checkout,checkout,fruit
4039,dairy,checkout,checkout,fruit,checkout
4065,checkout,checkout,fruit,checkout,checkout
3951,dairy,fruit,checkout,checkout,fruit
4002,fruit,checkout,checkout,fruit,checkout
4026,checkout,checkout,fruit,checkout,checkout
4000,spices,fruit,checkout,checkout,checkout
4052,fruit,checkout,checkout,checkout,checkout
4080,checkout,checkout,checkout,checkout,fruit
4120,dairy,checkout,checkout,fruit,checkout
4128,checkout,checkout,fruit,checkout,checkout
4000,spices,fruit,checkout,checkout,dairy
4052,fruit,checkout,checkout,dairy,checkout
4080,checkout,checkout,dairy,checkout,checkout
4003,fruit,dairy,checkout,checkout,dairy
4010,dairy,checkout,checkout,dairy,checkout
4040,checkout,checkout,dairy,checkout,checkout
3952,fruit,dairy,checkout,checkout,fruit
3971,dairy,checkout,checkout,fruit,spices
3989,checkout,checkout,fruit,spices,drinks
4001,drinks,fruit,spices,drinks,fruit
4011,fruit,spices,drinks,fruit,drinks
4022,spices,drinks,fruit,drinks,spices
4063,drinks,fruit,drinks,spices,checkout
4070,fruit,drinks,spices,checkout,checkout
4081,drinks,spices,checkout,checkout,drinks
4110,spices,checkout,checkout,drinks,checkout
4144,checkout,checkout,drinks,checkout,checkout
4121,dairy,drinks,checkout,checkout,fruit
4139,drinks,checkout,checkout,fruit,spices
4155,checkout,checkout,fruit,spices,drinks
4001,drinks,fruit,spices,drinks,fruit
4011,fruit,spices,drinks,fruit,drinks
4022,spices,drinks,fruit,drinks,spices
4063,drinks,fruit,drinks,spices,checkout
4070,fruit,drinks,spices,checkout,checkout
4081,drinks,spices,checkout,checkout,dairy
4110,spices,checkout,checkout,dairy,drinks
4144,checkout,checkout,dairy,drinks,checkout
4004,fruit,dairy,drinks,checkout,checkout
4011,dairy,drinks,checkout,checkout,checkout
4020,drinks,checkout,checkout,checkout,checkout
4025,checkout,checkout,checkout,checkout,checkout
3953,fruit,checkout,checkout,checkout,checkout
3990,checkout,checkout,checkout,checkout,checkout
355,fruit,checkout,checkout,checkout,checkout
365,checkout,checkout,checkout,checkout,checkout
374,dairy,checkout,checkout,checkout,checkout
392,checkout,checkout,checkout,checkout,drinks
355,fruit,checkout,checkout,drinks,checkout
365,checkout,checkout,drinks,checkout,checkout
363,fruit,drinks,checkout,checkout,fruit
434,drinks,checkout,checkout,fruit,checkout
438,checkout,checkout,fruit,checkout,checkout
358,dairy,fruit,checkout,checkout,checkout
373,fruit,checkout,checkout,checkout,checkout
404,checkout,checkout,checkout,checkout,dairy
4012,spices,checkout,checkout,dairy,checkout
4023,checkout,checkout,dairy,checkout,checkout
4122,fruit,dairy,checkout,checkout,checkout
4129,dairy,checkout,checkout,checkout,checkout
4156,checkout,checkout,checkout,checkout,spices
4012,spices,checkout,checkout,spices,fruit
4023,checkout,checkout,spices,fruit,dairy
4012,dairy,spices,fruit,dairy,fruit
4026,spices,fruit,dairy,fruit,spices
4033,fruit,dairy,fruit,spices,fruit
4052,dairy,fruit,spices,fruit,spices
4074,fruit,spices,fruit,spices,fruit
4097,spices,fruit,spices,fruit,dairy
4103,fruit,spices,fruit,dairy,spices
4112,spices,fruit,dairy,spices,dairy
4116,fruit,dairy,spices,dairy,checkout
4156,dairy,spices,dairy,checkout,checkout
4187,spices,dairy,checkout,checkout,drinks
4200,dairy,checkout,checkout,drinks,spices
4218,checkout,checkout,drinks,spices,fruit
3954,spices,drinks,spices,fruit,checkout
3968,drinks,spices,fruit,checkout,checkout
3972,spices,fruit,checkout,checkout,checkout
3980,fruit,checkout,checkout,checkout,checkout
4027,checkout,checkout,checkout,checkout,spices
4013,fruit,checkout,checkout,spices,dairy
4030,checkout,checkout,spices,dairy,fruit
4126,fruit,spices,dairy,fruit,drinks
4130,spices,dairy,fruit,drinks,checkout
4134,dairy,fruit,drinks,checkout,checkout
4157,fruit,drinks,checkout,checkout,checkout
4167,drinks,checkout,checkout,checkout,checkout
4184,checkout,checkout,checkout,checkout,dairy
4013,fruit,checkout,checkout,dairy,drinks
4030,checkout,checkout,dairy,drinks,checkout
4013,drinks,dairy,drinks,checkout,checkout
4021,dairy,drinks,checkout,checkout,checkout
4027,drinks,checkout,checkout,checkout,checkout
4066,checkout,checkout,checkout,checkout,checkout
3955,drinks,checkout,checkout,checkout,checkout
3991,checkout,checkout,checkout,checkout,drinks
4035,fruit,checkout,checkout,drinks,checkout
4097,checkout,checkout,drinks,checkout,checkout
4131,fruit,drinks,checkout,checkout,checkout
4135,drinks,checkout,checkout,checkout,checkout
4137,checkout,checkout,checkout,checkout,checkout
4035,fruit,checkout,checkout,checkout,checkout
4097,checkout,checkout,checkout,checkout,drinks
4028,dairy,checkout,checkout,drinks,fruit
4041,checkout,checkout,drinks,fruit,checkout
3969,spices,drinks,fruit,checkout,checkout
3981,drinks,fruit,checkout,checkout,drinks
3992,fruit,checkout,checkout,drinks,checkout
4003,checkout,checkout,drinks,checkout,checkout
4036,dairy,drinks,checkout,checkout,checkout
4046,drinks,checkout,checkout,checkout,checkout
4058,checkout,checkout,checkout,checkout,drinks
4140,fruit,checkout,checkout,drinks,checkout
4158,checkout,checkout,drinks,checkout,checkout
4036,dairy,drinks,checkout,checkout,drinks
4046,drinks,checkout,checkout,drinks,spices
4058,checkout,checkout,drinks,spices,checkout
4029,spices,drinks,spices,checkout,checkout
4034,drinks,spices,checkout,checkout,checkout
4042,spices,checkout,checkout,checkout,checkout
4095,checkout,checkout,checkout,checkout,drinks
3973,drinks,checkout,checkout,drinks,fruit
4028,checkout,checkout,drinks,fruit,checkout
4037,dairy,drinks,fruit,checkout,checkout
4124,drinks,fruit,checkout,checkout,drinks
4145,fruit,checkout,checkout,drinks,checkout
4164,checkout,checkout,drinks,checkout,checkout
4141,fruit,drinks,checkout,checkout,drinks
4189,drinks,checkout,checkout,drinks,fruit
4224,checkout,checkout,drinks,fruit,checkout
4037,dairy,drinks,fruit,checkout,checkout
4124,drinks,fruit,checkout,checkout,checkout
4145,fruit,checkout,checkout,checkout,checkout
4164,checkout,checkout,checkout,checkout,drinks
4030,drinks,checkout,checkout,drinks,checkout
4078,checkout,checkout,drinks,checkout,checkout
3974,dairy,drinks,checkout,checkout,checkout
4069,drinks,checkout,checkout,checkout,checkout
4116,checkout,checkout,checkout,checkout,dairy
